CollegeName,CollegeBuildingList.BuildingID,CollegeBuildingList.BuildingArea,CollegeBuildingList.BuildingFloors.floor,CollegeBuildingList.BuildingFloors.basement,CollegeBuildingList.BuildingNames
教學大樓,AT2038,5460.563,4,0,共同科目教室_共同教室_共同大樓_Common Subjects Classroom Building_Common Courses Bldg.
教學大樓,CN1004,41235.312,15,3,基礎醫學大樓_基醫大樓_圖書分館_醫分館_三東實驗室
教學大樓,KT0027,2680.0,5,0,育成中心B棟_Incubation Center Bldg. B_ 水源101_ 水源201
教學大樓,AT1009,8791.433,6,1,普通教學館_普通科目教室_普通教室_普通大樓_新普通教室_General Courses Bldg.
教學大樓,AT1044,10870.0,5,1,教學大樓一期
教學大樓,AT1020,5200.95,5,0,新生大樓_新生教室_Freshman Classroom Building_Xin Sheng Bldg.
教學大樓,AT2038,5460.563,4,0,共同科目教室_共同教室_共同大樓_Common Subjects Classroom Building_Common Courses Bldg.
教學大樓,CN1004,41235.312,15,3,基礎醫學大樓_基醫大樓_圖書分館_醫分館_三東實驗室
教學大樓,KT0027,2680.0,5,0,育成中心B棟_Incubation Center Bldg. B_ 水源101_ 水源201
教學大樓,AT1009,8791.433,6,1,普通教學館_普通科目教室_普通教室_普通大樓_新普通教室_General Courses Bldg.
教學大樓,AT1044,10870.0,5,1,教學大樓一期
教學大樓,AT1020,5200.95,5,0,新生大樓_新生教室_Freshman Classroom Building_Xin Sheng Bldg.
教學大樓,AT2038,5460.563,4,0,共同科目教室_共同教室_共同大樓_Common Subjects Classroom Building_Common Courses Bldg.
教學大樓,CN1004,41235.312,15,3,基礎醫學大樓_基醫大樓_圖書分館_醫分館_三東實驗室
教學大樓,KT0027,2680.0,5,0,育成中心B棟_Incubation Center Bldg. B_ 水源101_ 水源201
教學大樓,AT1009,8791.433,6,1,普通教學館_普通科目教室_普通教室_普通大樓_新普通教室_General Courses Bldg.
教學大樓,AT1044,10870.0,5,1,教學大樓一期
教學大樓,AT1020,5200.95,5,0,新生大樓_新生教室_Freshman Classroom Building_Xin Sheng Bldg.
教學大樓,AT2038,5460.563,4,0,共同科目教室_共同教室_共同大樓_Common Subjects Classroom Building_Common Courses Bldg.
教學大樓,CN1004,41235.312,15,3,基礎醫學大樓_基醫大樓_圖書分館_醫分館_三東實驗室
教學大樓,KT0027,2680.0,5,0,育成中心B棟_Incubation Center Bldg. B_ 水源101_ 水源201
教學大樓,AT1009,8791.433,6,1,普通教學館_普通科目教室_普通教室_普通大樓_新普通教室_General Courses Bldg.
教學大樓,AT1044,10870.0,5,1,教學大樓一期
教學大樓,AT1020,5200.95,5,0,新生大樓_新生教室_Freshman Classroom Building_Xin Sheng Bldg.
教學大樓,AT2038,5460.563,4,0,共同科目教室_共同教室_共同大樓_Common Subjects Classroom Building_Common Courses Bldg.
教學大樓,CN1004,41235.312,15,3,基礎醫學大樓_基醫大樓_圖書分館_醫分館_三東實驗室
教學大樓,KT0027,2680.0,5,0,育成中心B棟_Incubation Center Bldg. B_ 水源101_ 水源201
教學大樓,AT1009,8791.433,6,1,普通教學館_普通科目教室_普通教室_普通大樓_新普通教室_General Courses Bldg.
教學大樓,AT1044,10870.0,5,1,教學大樓一期
教學大樓,AT1020,5200.95,5,0,新生大樓_新生教室_Freshman Classroom Building_Xin Sheng Bldg.
教學大樓,AT2038,5460.563,4,0,共同科目教室_共同教室_共同大樓_Common Subjects Classroom Building_Common Courses Bldg.
教學大樓,CN1004,41235.312,15,3,基礎醫學大樓_基醫大樓_圖書分館_醫分館_三東實驗室
教學大樓,KT0027,2680.0,5,0,育成中心B棟_Incubation Center Bldg. B_ 水源101_ 水源201
教學大樓,AT1009,8791.433,6,1,普通教學館_普通科目教室_普通教室_普通大樓_新普通教室_General Courses Bldg.
教學大樓,AT1044,10870.0,5,1,教學大樓一期
教學大樓,AT1020,5200.95,5,0,新生大樓_新生教室_Freshman Classroom Building_Xin Sheng Bldg.
劇場,AT1032,4454.377,3,1,外語教學暨資源中心_視聽教育館_視聽館_視廳館_視小劇場_視聽小劇場_外教_Audio Visual Educational Center_外語教學暨資源中心 _外語教學中心 _Foreign Language Teaching & Resource Center _ Foreign Language Teaching Center
劇場,AT1032,4454.377,3,1,外語教學暨資源中心_視聽教育館_視聽館_視廳館_視小劇場_視聽小劇場_外教_Audio Visual Educational Center_外語教學暨資源中心 _外語教學中心 _Foreign Language Teaching & Resource Center _ Foreign Language Teaching Center
劇場,AT1032,4454.377,3,1,外語教學暨資源中心_視聽教育館_視聽館_視廳館_視小劇場_視聽小劇場_外教_Audio Visual Educational Center_外語教學暨資源中心 _外語教學中心 _Foreign Language Teaching & Resource Center _ Foreign Language Teaching Center
劇場,AT1032,4454.377,3,1,外語教學暨資源中心_視聽教育館_視聽館_視廳館_視小劇場_視聽小劇場_外教_Audio Visual Educational Center_外語教學暨資源中心 _外語教學中心 _Foreign Language Teaching & Resource Center _ Foreign Language Teaching Center
劇場,AT1032,4454.377,3,1,外語教學暨資源中心_視聽教育館_視聽館_視廳館_視小劇場_視聽小劇場_外教_Audio Visual Educational Center_外語教學暨資源中心 _外語教學中心 _Foreign Language Teaching & Resource Center _ Foreign Language Teaching Center
劇場,AT1032,4454.377,3,1,外語教學暨資源中心_視聽教育館_視聽館_視廳館_視小劇場_視聽小劇場_外教_Audio Visual Educational Center_外語教學暨資源中心 _外語教學中心 _Foreign Language Teaching & Resource Center _ Foreign Language Teaching Center
理學院,AT4019,1407.389,3,1,大氣科學系
理學院,AT4019-C,995.122,3,0,氣象館_大氣A館
理學院,AT2027,3636.152,3,0,2號館_物理舊館_舊物理館_Building No.2_ Bldg. No.2_普物實驗
理學院,AT2027-A,3636.152,3,0,2號館_物理舊館_舊物理館_Building No.2_ Bldg. No.2_普物實驗
理學院,AT2027-1,3636.152,3,0,2號館_物理舊館_舊物理館_Building No.2_ Bldg. No.2_普物實驗
理學院,AT2027-2,3636.152,3,0,2號館_物理舊館_舊物理館_Building No.2_ Bldg. No.2_普物實驗
理學院,AT1042,2009.0,8,1,積學館_化學新館_積學館B棟_Integrate Chemistry Building
理學院,AT1033,1790.427,3,1,心理系北館_心理研究大樓_心理學實驗館
理學院,AT1034,3595.312,4,1,心理系南館_心理系新館
理學院,AT4023-1,1402.596,3,0,地質系_銀杏_中庭大講堂
理學院,AT4023-2,1402.596,3,0,地質系_銀杏_中庭大講堂
理學院,AT4023,1402.596,3,0,地質系_銀杏_中庭大講堂
理學院,AT1017,10199.808,6,1,思亮館_理學院綜合實驗大樓_Shih - Liang Hall_CASE_思亮館國際會議廳
理學院,AT1043,31015.0,14,3,中央研究院/臺灣大學天文數學館_中研院/臺灣大學天文數學館_Astronomy - Mathematics Building/AS_NTU_ 天數
理學院,AT1038,26292.026,14,1,物理學系/ 凝態科學研究中心_物理新館_凝態館_凝態物理館_Dept. of Physics / Center for Condensed Matter Sciences_CCMS_ 新物_凝態科學研究中心暨物理學系館/科教中心_楊金豹演講廳
理學院,AT1040,8597.451,7,1,化學系_化新一期_化新二期_化新館_化學新研究大樓_積學館A棟_Chemistry Research Building
理學院,AT4018-A,4285.37,7,1,浩瀚樓_大氣C館
理學院,AT4018,4005.502,8,1,地理系_地理電腦室
理學院,AT1004,2629.718,4,1,全球變遷中心_地球科學大樓_Global Change Research Center
理學院,AT1011,3772.25,4,1,海洋研究所_海洋所_海研所_Graduate Institute of Oceanography
理學院,AT1011-1,3772.25,4,1,海洋研究所_海洋所_海研所_Graduate Institute of Oceanography
