BuildingID,BuildingName,PowerMeters
AT1018,數學館,"[('+', '01A_P1_02'), ('+', '01A_P1_03')]"
AT1019,新數學研究中心,"[('+', '01A_P1_04'), ('+', '01A_P1_05'), ('+', '01A_P1_06'), ('+', '01A_P1_07'), ('+', '01A_P1_10')]"
AT1020,新生大樓,"[('+', '01A_P1_08'), ('+', '01A_P1_09')]"
AT1040,化學館,"[('+', '01B_P1_01'), ('-', '01B_P1_02'), ('-', '01B_P1_03')]"
AT1023,電機一館,"[('+', '01B_P1_02')]"
AN1022,生化所,"[('+', '01B_P1_03')]"
AT1011,海洋研究所,"[('+', '01D_P1_01')]"
AT1005,游泳池,"[('+', '01E_P1_01'), ('-', '01E_P1_03'), ('-', '01E_P1_04'), ('-', '01E_P1_06'), ('-', '01E_P1_07'), ('-', '01E_P1_08'), ('-', '01E_P1_09'), ('-', '01E_P1_10'), ('-', '01E_P1_11')]"
AT1006,舊體育館,"[('+', '01E_P1_03'), ('+', '01E_P1_04'), ('+', '01E_P1_06'), ('+', '01E_P1_07'), ('+', '01E_P1_08'), ('+', '01E_P1_09'), ('+', '01E_P1_10'), ('+', '01E_P1_11')]"
AT1009(1),闈場,"[('+', '01F_P1_10'), ('+', '01F_P1_12'), ('+', '01F_P1_13')]"
AT1015,小福樓,"[('+', '01F_P1_03'), ('+', '01F_P1_04')]"
AT1009,普通大樓,"[('+', '01F_P1_05'), ('+', '01F_P1_06'), ('+', '01F_P1_07'), ('+', '01F_P1_08'), ('+', '01F_P1_09'), ('+', '01F_P1_11')]"
AT2007,化學工程館,"[('+', '01G_P1_01')]"
AT2008,土木館（一區G站總用電）,"[('+', '01H_P1_01')]"
AT2006,文學院,"[('+', '01I_P1_01')]"
AT2005,舊總圖,"[('+', '01J_P1_01'), ('-', '01J_P2_05'), ('-', '01J_P1_10'), ('-', '01J_P2_04'), ('-', '01J_P2_03'), ('-', '01J_P1_08'), ('-', '01J_P1_11'), ('-', '01J_P1_05'), ('-', '01J_P2_02'), ('-', '01J_P2_07'), ('-', '01J_P2_06'), ('-', '01J_P2_01'), ('-', '01J_P1_12'), ('-', '01J_P1_13'), ('-', '01J_P1_14'), ('-', '01J_P1_15'), ('-', '01J_P1_07')]"
AT2005(1),校史館,"[('+', '01J_P1_12'), ('+', '01J_P1_13'), ('+', '01J_P1_14')]"
AT1041,新南停車場（新月台）,"[('+', '01J_P1_15')]"
AT1002-A,司令台,"[('+', '01J_P1_07')]"
AT2005-1,樂學館,"[('+', '01J_P1_08'), ('+', '01J_P1_11'), ('+', '01J_P1_05'), ('+', '01J_P2_02'), ('+', '01J_P2_07')]"
AT2002,人類學系,"[('+', '01J_P2_04'), ('+', '01J_P2_03')]"
AT2003,哲學系,"[('+', '01J_P2_05'), ('+', '01J_P1_10')]"
AT2001,農業陳列館,"[('+', '01J_P2_06'), ('+', '01J_P2_01')]"
AT1017,思亮館,"[('+', '01K_P1_01'), ('+', '01K_P1_02')]"
AN1024,原分所,"[('+', '01L_P1_01')]"
AT3038,社會研究所,"[('+', '01M_P1_01')]"
AT3039,國家發展所大樓,"[('+', '01N_P1_01')]"
AT3040,新聞所大樓,"[('+', '01O_P1_01')]"
AT3035,國青舍（研三舍）,"[('+', '01P_P1_01')]"
AT1025,水產養殖池,"[('+', '01Q_P1_02'), ('+', '01Q_P1_03')]"
AT3041,總圖書館,"[('+', '01S_P1_01')]"
AT3001,資訊工程館,"[('+', '01T_P1_01'), ('-', '01T_P1_02'), ('-', '01T_P1_03'), ('-', '01T_P1_04')]"
AT3002,機械臨時工廠,"[('+', '01T_P1_02'), ('+', '01T_P1_03'), ('+', '01T_P1_04')]"
AT1038,凝態科學館,"[('+', '01U_P1_01')]"
AT1039,體育館,"[('+', '01V_P1_01')]"
AT4026,推廣中心,"[('+', '01Z_P1_02'), ('-', '01Z_P1_03'), ('-', '01Z_P1_04')]"
AT4026-4,城鄉所,"[('+', '01Z_P1_03'), ('+', '01Z_P1_04')]"
AT2015,一號館,"[('+', '02A_P1_02'), ('+', '02A_P1_03'), ('+', '02A_P1_04'), ('+', '02A_P2_06'), ('+', '02A_P2_10'), ('+', '02A_P3_14'), ('+', '02A_P3_17'), ('+', '02A_P3_18'), ('+', '02C_P1_09')]"
AT2018,女三舍女二舍,"[('+', '02A_P1_05')]"
AT2020,植物病毒研究室,"[('+', '02A_P2_01'), ('+', '02A_P3_10'), ('+', '02A_P3_12')]"
AT2016,漁業陳列館,"[('+', '02A_P2_02'), ('+', '02A_P3_09')]"
AT2015-A,動物標本館,"[('+', '02A_P2_03'), ('+', '02A_P3_08')]"
AT2021,植物標本館,"[('+', '02A_P2_04'), ('+', '02A_P3_05')]"
AT2020-C,植物溫室,"[('+', '02A_P2_08'), ('+', '02A_P3_06')]"
AT2016-A,漁業生物實驗室,"[('+', '02A_P2_09'), ('+', '02A_P3_11')]"
AT2017,女一舍,"[('+', '02A_P3_03'), ('+', '02A_P3_13'), ('+', '02A_P1_13')]"
AT2004-F,大門口警衛室,"[('+', '02A_P3_07'), ('+', '02A_P2_05'), ('+', '02A_P2_11')]"
AT2027,二號館,"[('+', '02C_P1_01'), ('+', '02C_P1_03'), ('-', '02C_P1_04'), ('-', '02C_P1_05'), ('-', '02C_P1_06'), ('-', '02C_P1_08'), ('-', '02C_P1_09'), ('-', '02C_P1_10')]"
AT2018-A,雜工班,"[('+', '02C_P1_04'), ('+', '02C_P1_06'), ('+', '02C_P1_08'), ('+', '02C_P1_10'), ('+', '02D_P2_09')]"
AT2028-A,電子顯微鏡館,"[('+', '02D_P1_02'), ('+', '02D_P1_06'), ('+', '02D_P1_05'), ('+', '02D_P2_08')]"
AT2030-B,性別平等教育委員會,"[('+', '02D_P1_04')]"
AT2022,女五舍,"[('+', '02D_P1_08')]"
