MeterID,MeterName
00A_P1_01,臺大總變電站（高壓）
01A_P1_01,一區A站總用電(數學館站)(高壓)
01A_P1_02,舊數學館動力
01A_P1_03,舊數學館照明
01A_P1_04,新數學研究中心（2）動力
01A_P1_05,新數學研究中心照明
01A_P1_06,新數學研究中心1樓中間走廊
01A_P1_07,新數學研究中心3樓照明
01A_P1_08,新生大樓照明
01A_P1_09,新生大樓高壓空調用電(高壓)
01A_P1_10,新數學研究中心303高速電腦
01A_P1_11,舊數學館(動力)
01A_P1_12,新數學研究中心(動力)
01A_P1_13,舊數學館(照明)
01A_P1_14,新數學研究中心(照明)
01A_P1_15,貨櫃屋電源#1
01A_P1_16,貨櫃屋電源#2
01A_P1_17,路燈電源
01B_P1_01,化學館（MVCB）(高壓)
01B_P1_02,電機一館(#6VCB)(高壓)
01B_P1_03,生化所（#7VCB）(高壓)
01B_P1_04,積學館
01B_P1_05,數學配電站總錶
01B_P1_06,新生大樓
01B_P1_08,積學館新增電錶1
01B_P1_09,積學館新增電錶2
01B_P1_10,積學館新增電錶3
01B_P1_11,積學館新增電錶4
01B_P1_12,積學館新增電錶5
01B_P1_13,貴儀中心氦液化機用電
01D_P1_01,D變電站總開關（海洋研究所站）（高壓）
01D_P1_02,海洋所饋線
01D_P1_03,海洋所動力
01D_P1_04,海洋所照明
01D_P1_05,全球變遷中心
01E_P1_01,一區E站總用電(游泳池站)(高壓)
01E_P1_02,E站照明總電源（游泳池）
01E_P1_03,室外球場夜間照明（1）
01E_P1_04,室外球場夜間照明（2）
01E_P1_05,E站動力總電源
01E_P1_06,舊體育館照明
01E_P1_07,舊體育場器材室照明
01E_P1_08,舊體育館高爾夫旁插座
01E_P1_09,舊體育館器材室球場照明配電盤
01E_P1_10,舊體育館室內水銀燈
01E_P1_11,舊體育館健身館
01E_P1_12,十八米路燈
01F_P1_01,一區F站總用電（普通教室站）(高壓)
01F_P1_02,通學生餐廳(福利社)小福樓
01F_P1_03,至福利社頂樓
01F_P1_04,至福利社2 3F 
01F_P1_05,至變電室外加壓馬達及鐵捲門旁插座 
01F_P1_06,普通教室用電新設2
01F_P1_07,普通教室用電新設1
01F_P1_08,普通高壓空調 (高壓)
01F_P1_09,普通教室電梯用電 
01F_P1_10,至闈場發電機
01F_P1_11,至變壓器一次測 
01F_P1_12,至闈場電源MP2後
01F_P1_13,至闈場冷氣
01G_P1_01,(化學工程館）動力(高壓）
01G_P1_02,VCB1（化學工程館）動力(高壓)
01H_P1_01,H站變電站總開關照明（土木館）(高壓)
01H_P1_02,VCB總開關（土木館）(高壓)
01I_P1_01,文學院
01I_P1_02,博雅館1
01I_P1_03,博雅館2
01I_P1_04,博雅館3
01I_P1_05,博雅館4
01I_P1_06,MP
01J_P1_01,一區J站總電源（舊總圖站）(高壓)
01J_P1_02,(舊)總圖書館(珍貴不動產)照明
01J_P1_05,樂學館西側2樓抽水機
01J_P1_06,舊總圖動力
01J_P1_07,司令台後ML
01J_P1_08,樂學館PAC箱
01J_P1_10,哲學系動力
01J_P1_11,樂學館動力
01J_P1_12,至校史館照明總開關 
01J_P1_13,校史館2樓後棟（動力）
01J_P1_14,校史館東側（動力）
01J_P1_15,新南停車場（新月台）（高壓）
01J_P1_16,人類學博物館總用電
01J_P1_17,人類學博物館照明
01J_P1_18,人類學博物館動力
01J_P1_19,人類博物館動力用電1
01J_P1_20,人類博物館動力用電2
01J_P2_01,農業陳列館動力
01J_P2_02,樂學館1樓外牆
01J_P2_03,人類學系動力
01J_P2_04,人類學系照明
01J_P2_05,哲學系照明
01J_P2_06,農業陳列館照明
01J_P2_07,樂學館照明
01J_P2_08,樂學館動力用電
01K_P1_01,理學院綜合實驗大樓(思亮館)照明（VCB1）（高壓）
01K_P1_02,理學院綜合實驗大樓(思亮館)動力（VCB2）（高壓）
01L_P1_01,中研院原子及分子研究所(高壓)
01M_P1_01,社會及社工館(社會系所大樓)（VCB1）(高壓)
01M_P1_02,社會系(停車場照明)
01M_P1_03,社科院大樓地下停車場2
01M_P1_04,社科院大樓地下停車場1
01M_P1_05,社科院大樓總錶
01M_P1_06,舊社科圖書館照明
01M_P1_07,舊社科圖書館冷氣B1
01M_P1_08,舊社科圖書館冷氣1F
01M_P1_09,舊社科圖書館冷氣2F
01M_P1_10,會議廳照明
01M_P1_11,會議廳冷氣水塔
01M_P1_12,會議廳冷氣主機
01N_P1_01,國家發展所大樓(原三研所)（VCB2）(高壓)
01N_P1_02,國發所(停車場照明)
01N_P1_03,辛亥大門
01O_P1_01,新聞所大樓（VCB3）(高壓)
01O_P1_02,新聞所(停車場照明)
01P_P1_01,國青舍（MAIN）(高壓)
01Q_P1_01,漁業科學館OCB(高壓)
01Q_P1_02,水產養殖池動力
01Q_P1_03,水產養殖池照明
01S_P1_01,總圖書館HTM（高壓）
01T_P1_01,資訊工程館(資訊系館)GCBM（高壓）
01T_P1_02,機械臨時工廠MP
01T_P1_03,機械臨時工廠ML
01T_P1_04,機械臨時工廠MR
01T_P1_05,資工系三號空調
01U_P1_01,凝態科學館（高壓）
01U_P1_02,凝態科學館停車場
01V_P1_01,體育館(校總區)（高壓）
01W_P1_01,網球場照明2
01W_P1_02,新月台周圍路燈
01W_P1_03,新南停車場用電
01W_P1_04,網球場照明1
01W_P1_05,新南停車場 1
01W_P1_06,新南停車場 2
01W_P1_07,EPW2揚水泵用電
01W_P1_08,紅土網球場
01W_P1_09,EPW1揚水泵用電
01W_P1_10,新南停車場（高壓總錶）
01W_P1_11,EPS1汙水泵用電
01Z_P1_01,推廣中心饋線（高壓）
01Z_P1_02,推廣中心（高壓）
01Z_P1_03,城鄉所動力
01Z_P1_04,城鄉所照明
02A_P1_01,二區A站總用電（一號館站）(高壓)
02A_P1_02,戲劇系1樓動力
02A_P1_03,戲劇系與植病系共用動力
02A_P1_04,植病系3樓動力
02A_P1_05,女三舍女二舍共用(高壓)
02A_P1_06,女二舍
02A_P1_07,女三舍
02A_P1_08,女一舍空調用電
